File_Name,File_Path,Species
fin_whale_6106400B.wav,./audio/fin_whale/fin_whale_6106400B.wav,Fin Whale
fin_whale_6107900B.wav,./audio/fin_whale/fin_whale_6107900B.wav,Fin Whale
fin_whale_6107900N.wav,./audio/fin_whale/fin_whale_6107900N.wav,Fin Whale
fin_whale_6107900D.wav,./audio/fin_whale/fin_whale_6107900D.wav,Fin Whale
fin_whale_6104700F.wav,./audio/fin_whale/fin_whale_6104700F.wav,Fin Whale
fin_whale_6107900H.wav,./audio/fin_whale/fin_whale_6107900H.wav,Fin Whale
fin_whale_6107900J.wav,./audio/fin_whale/fin_whale_6107900J.wav,Fin Whale
fin_whale_6106400F.wav,./audio/fin_whale/fin_whale_6106400F.wav,Fin Whale
fin_whale_61064009.wav,./audio/fin_whale/fin_whale_61064009.wav,Fin Whale
fin_whale_61039001.wav,./audio/fin_whale/fin_whale_61039001.wav,Fin Whale
fin_whale_61079002.wav,./audio/fin_whale/fin_whale_61079002.wav,Fin Whale
fin_whale_61047009.wav,./audio/fin_whale/fin_whale_61047009.wav,Fin Whale
fin_whale_61064006.wav,./audio/fin_whale/fin_whale_61064006.wav,Fin Whale
fin_whale_6106400L.wav,./audio/fin_whale/fin_whale_6106400L.wav,Fin Whale
humpback_whale_6301901N.wav,./audio/humpback_whale/humpback_whale_6301901N.wav,Humpback Whale
humpback_whale_6301901M.wav,./audio/humpback_whale/humpback_whale_6301901M.wav,Humpback Whale
humpback_whale_6301901H.wav,./audio/humpback_whale/humpback_whale_6301901H.wav,Humpback Whale
humpback_whale_6301900W.wav,./audio/humpback_whale/humpback_whale_6301900W.wav,Humpback Whale
humpback_whale_6301900V.wav,./audio/humpback_whale/humpback_whale_6301900V.wav,Humpback Whale
humpback_whale_6304300O.wav,./audio/humpback_whale/humpback_whale_6304300O.wav,Humpback Whale
humpback_whale_9220100B.wav,./audio/humpback_whale/humpback_whale_9220100B.wav,Humpback Whale
humpback_whale_9220100G.wav,./audio/humpback_whale/humpback_whale_9220100G.wav,Humpback Whale
humpback_whale_6301901E.wav,./audio/humpback_whale/humpback_whale_6301901E.wav,Humpback Whale
humpback_whale_6301901A.wav,./audio/humpback_whale/humpback_whale_6301901A.wav,Humpback Whale
humpback_whale_5511300F.wav,./audio/humpback_whale/humpback_whale_5511300F.wav,Humpback Whale
humpback_whale_63019018.wav,./audio/humpback_whale/humpback_whale_63019018.wav,Humpback Whale
humpback_whale_55113007.wav,./audio/humpback_whale/humpback_whale_55113007.wav,Humpback Whale
humpback_whale_63019017.wav,./audio/humpback_whale/humpback_whale_63019017.wav,Humpback Whale
humpback_whale_63019010.wav,./audio/humpback_whale/humpback_whale_63019010.wav,Humpback Whale
humpback_whale_6304300F.wav,./audio/humpback_whale/humpback_whale_6304300F.wav,Humpback Whale
humpback_whale_92201001.wav,./audio/humpback_whale/humpback_whale_92201001.wav,Humpback Whale
humpback_whale_55113001.wav,./audio/humpback_whale/humpback_whale_55113001.wav,Humpback Whale
humpback_whale_9220100X.wav,./audio/humpback_whale/humpback_whale_9220100X.wav,Humpback Whale
humpback_whale_6301901T.wav,./audio/humpback_whale/humpback_whale_6301901T.wav,Humpback Whale
